path_id,step,hour,currency,architecture,lcu_usd,eth_usd,oracle_ratio_error,source_disagreement,dex_discount,annual_rate,debt_ceiling,liquidation_ratio,paused,bad_debt_cumulative,credit_cumulative
0,39,240,ARS,Static single oracle,0.987355984,0.929115715,-0.0280550052,0.27183976,0.203802279,0.08,1,1.5,0,0,0.0708408995
1,39,240,ARS,Static single oracle,0.980610771,0.936860815,-0.042172695,0.286238258,0.214874673,0.08,1,1.5,0,0,0.0709220491
2,39,240,ARS,Static single oracle,0.9971716,0.879201157,-0.0393102988,0.218909164,0.207210274,0.08,1,1.5,0,0,0.0709606497
0,40,246,ARS,Static single oracle,0.988898333,0.917675811,-0.0291570846,0.228662274,0.20485314,0.08,1,1.5,0,0,0.0725891745
1,40,246,ARS,Static single oracle,0.975926395,0.933734257,-0.0476977012,0.285914839,0.219124841,0.08,1,1.5,0,0,0.0726957327
2,40,246,ARS,Static single oracle,0.995672288,0.861221341,-0.0423145142,0.220506914,0.208886596,0.08,1,1.5,0,0,0.0727042462
0,41,252,ARS,Static single oracle,0.992000237,0.931200667,-0.0281029507,0.263964374,0.205892323,0.08,1,1.5,0,0,0.0743392934
1,41,252,ARS,Static single oracle,0.972867894,0.943543372,-0.0527813062,0.29239817,0.221991113,0.08,1,1.5,0,0,0.0744407065
2,41,252,ARS,Static single oracle,0.996205631,0.871189994,-0.0388293796,0.215962155,0.20959705,0.08,1,1.5,0,0,0.0744356929
0,42,258,ARS,Static single oracle,0.992082375,0.95329136,-0.02646846,0.27403858,0.20692909,0.08,1,1.5,0,0,0.0760922751
1,42,258,ARS,Static single oracle,0.969545798,0.908709177,-0.0562778972,0.256097243,0.224805068,0.08,1,1.5,0,0,0.0761829449
2,42,258,ARS,Static single oracle,0.994806201,0.880908962,-0.0352055086,0.233617652,0.211246044,0.08,1,1.5,0,0,0.0761905252
0,43,264,ARS,Static single oracle,0.995591759,0.953772848,-0.0257200995,0.258841438,0.207947914,0.08,1,1.5,0,0,0.0778465692
1,43,264,ARS,Static single oracle,0.967627847,0.894201845,-0.0577145254,0.235916392,0.226515717,0.08,1,1.5,0,0,0.0779055505
2,43,264,ARS,Static single oracle,0.993412695,0.865461395,-0.038628946,0.234124041,0.21276609,0.08,1,1.5,0,0,0.0779393119
0,44,270,ARS,Static single oracle,0.99705619,0.945096621,-0.0261137931,0.263504693,0.208929958,0.08,1,1.5,0,0,0.0796001728
1,44,270,ARS,Static single oracle,0.962088672,0.901891594,-0.0586588724,0.250477042,0.230483128,0.08,1,1.5,0,0,0.0796712164
